blueWins,blueKillDiff,blueAssistsDiff,blueAvgLvlDiff,blueTowerDestroyedDiff,blueCSPerMinDiff,dragTeam,heraldTeam,fbTeam
0,0.5454545454545454,0.5833333333333333,0.4,0,0.6639676113360324,-1,-1,-1
0,0.7272727272727273,0.6458333333333333,0.2,0,0.6720647773279352,-1,1,1
0,0.5151515151515151,0.6666666666666665,-0.4,0,0.3360323886639677,1,-1,-1
0,0.48484848484848486,0.5208333333333333,0.2,0,0.5708502024291499,-1,1,-1
1,0.5454545454545454,0.49999999999999994,0.0,0,0.5991902834008097,1,0,-1
1,0.5151515151515151,0.4791666666666666,0.0,0,0.4777327935222672,1,0,-1
1,0.6666666666666666,0.7083333333333333,0.4,0,0.6518218623481782,1,1,-1
0,0.36363636363636365,0.45833333333333326,-0.2,0,0.5789473684210527,-1,0,-1
1,0.4242424242424242,0.5416666666666666,-0.6,0,0.29554655870445345,1,0,-1
1,0.696969696969697,0.6874999999999999,0.8,0,0.4251012145748988,0,0,-1
0,0.303030303030303,0.29166666666666663,-0.8,0,0.5263157894736843,1,-1,-1
0,0.3939393939393939,0.43749999999999994,-0.8,0,0.3967611336032389,-1,0,1
0,0.45454545454545453,0.43749999999999994,0.4,0,0.49797570850202433,-1,-1,1
1,0.7272727272727273,0.5833333333333333,0.6,0,0.5263157894736843,-1,0,1
1,0.5151515151515151,0.43749999999999994,0.6,1,0.9392712550607287,-1,0,1
0,0.5151515151515151,0.5833333333333333,-0.2,0,0.2995951417004049,1,0,-1
0,0.36363636363636365,0.33333333333333326,0.0,0,0.4817813765182187,-1,0,-1
1,0.5454545454545454,0.6041666666666666,-0.2,0,0.6639676113360324,-1,0,1
1,0.45454545454545453,0.49999999999999994,0.2,0,0.7449392712550608,-1,1,-1
1,0.6666666666666666,0.5624999999999999,0.4,0,0.6437246963562753,1,1,-1
0,0.4242424242424242,0.37499999999999994,-0.2,0,0.6518218623481782,0,1,-1
0,0.45454545454545453,0.37499999999999994,-0.4,0,0.5425101214574899,1,0,1
0,0.45454545454545453,0.45833333333333326,-0.4,0,0.3967611336032389,-1,0,-1
0,0.48484848484848486,0.45833333333333326,-0.4,0,0.43319838056680166,-1,-1,-1
